"origin_iso","destination_iso","originregion_name","destinationregion_name","origin_name","destination_name","ftype","countryflow_2001","countryflow_2002","countryflow_2003","countryflow_2004","countryflow_2005","countryflow_2006","countryflow_2007","countryflow_2008","countryflow_2009","countryflow_2010","countryflow_2011","countryflow_2012","countryflow_2013","countryflow_2014","countryflow_2015"
"DE","AE","Eurocontrol","Middle East","Germany","United Arab Emirates","outbound",3004,2874,3604,4195,4883,5614,5842,6239,6363,6586,7075,8229,8149,8246,8876
"DE","BR","Eurocontrol","America","Germany","Brazil","outbound",0,0,0,0,0,0,0,0,0,0,0,1919,1846,0,0
"DE","CA","Eurocontrol","America","Germany","Canada","outbound",2858,2637,2827,3226,3657,3784,3722,3964,4020,4176,4340,4137,3981,4047,3970
"DE","CN","Eurocontrol","Asia","Germany","China","outbound",0,0,0,2220,2825,3589,3891,4231,4023,4715,5172,5154,5460,6332,6839
"DE","EG","Eurocontrol","Middle East","Germany","Egypt","outbound",5934,5813,5638,7156,7341,7082,8090,8447,8291,8877,7001,8373,6700,6686,8362
"DE","IL","Eurocontrol","Middle East","Germany","Israel","outbound",2035,0,0,0,0,2030,2067,2283,2695,2933,3000,3315,3679,4054,4550
"DE","IN","Eurocontrol","Asia","Germany","India","outbound",2027,1868,2126,2584,3118,3713,3704,3845,4322,4523,4266,3623,3661,3442,3389
"DE","JP","Eurocontrol","Asia","Germany","Japan","outbound",1842,1874,1844,2002,2089,2407,2505,2422,2294,2357,2493,2884,2919,3292,3475
"DE","KR","Eurocontrol","Asia","Germany","Korea, Republic of","outbound",0,0,0,0,0,0,1896,2181,2207,2128,2116,1921,1939,1962,2191
"DE","MA","Eurocontrol","Africa","Germany","Morocco","outbound",0,0,0,0,0,0,1864,2083,1986,2374,2615,2287,2957,2846,3300
"DE","QA","Eurocontrol","Middle East","Germany","Qatar","outbound",0,0,0,0,0,0,0,0,0,0,2293,2417,2637,2696,2643
